date,headline
20130125,microsoft fails to wow investors with windows 8
20130211,microsoft apple summonsed to front parliamentary committee
20130307,microsoft fined $711m for breaking browser promise
20130322,apple microsoft grilled over high prices
20130615,facebook microsoft reveal surveillance request data
20130729,geo blocking mps committee price report apple adobe microsoft
20130824,microsoft ceo steve balmer to retire within 12 months
20130827,uni microsoft partnership lifts hopes for bendigo
20130903,microsoft to buy nokia phone business for 248 billion
20130904,nokia microsoft smartphone apple samsung android galaxy apple
20131119,google; microsoft tighten online searches to combat child porn
